peak_time,peak_index,amplitude,duration,width_at_half_max,prominence,area_under_curve,rise_time,decay_time
4.12,206,0.022623115932014798,0.8,0.51,,0.02242744883938103,0.39,0.41
32.778764,1639,0.041257315765649887,3.33,1.54,,0.13876070250132164,1.42,1.91
38.498557,1925,0.024785631257817676,3.5,0.75,,0.06706062433285169,0.6,2.9
59.398250999999995,2970,0.019462971755347058,3.06,1.17,,0.06107949374957949,1.24,1.82
65.318076,3266,0.023175869337100242,2.23,1.46,,0.05841447455934881,0.52,1.71
172.735782,8637,0.02194998372006908,0.81,0.53,,0.022181578576444514,0.39,0.42
179.115631,8956,0.02095529228579359,1.47,0.82,,0.03534414629735996,0.65,0.82
204.87502600000002,10244,0.019488997609199976,4.87,1.78,,0.10065539685916804,2.4,2.47
218.05476199999998,10903,0.019192348593664487,1.24,0.77,,0.028991587698616702,0.43,0.81
234.174442,11709,0.021150229817716505,0.85,0.53,,0.022100782695284767,0.47,0.38
329.772343,16489,0.02210681668158643,2.01,0.92,,0.044061375537117406,0.93,1.08
468.50926799999996,23426,0.018625096460788266,6.25,0.74,,0.15571073596780116,3.16,3.09
471.50921999999997,23576,0.02505739299185683,2.3,0.71,,0.06255976886941883,0.72,1.58
477.88907900000004,23895,0.01897096368016141,2.0,1.49,,0.05134391351227015,0.72,1.28
508.808356,25441,0.02536344687444523,0.78,0.5,,0.024550215715484824,0.33,0.45
584.266704,29214,0.018332884862948942,1.34,0.82,,0.02936128187040505,0.7,0.64
618.3458909999999,30918,0.02125289622920587,5.96,1.59,,0.14092938902968372,3.1,2.86
622.845835,31143,0.023622848718231657,5.92,0.81,,0.1407558833675511,5.32,0.6
634.745579,31738,0.029758375318166858,1.27,0.7,,0.04270675617528676,0.48,0.79
