timestamp,event_label,trial_index
476.64912400000003,Input2*2*1,182
485.50890000000004,Input3*2*0,183
486.968871,Input3*2*1,184
491.288766,Input3*2*0,185
494.568695,Input3*2*1,186
498.04861200000005,Input3*2*0,187
499.32857900000005,Input3*2*1,188
505.728443,Input3*2*0,189
508.648377,Input3*2*1,190
517.128201,Input3*2*0,191
517.848185,Input3*2*1,192
520.928128,Input3*2*0,193
523.208074,Input3*2*1,194
526.847989,Input3*2*0,195
535.24778,Input3*2*1,196
541.927634,Input3*2*0,197
545.5275479999999,Input3*2*1,198
551.527433,Input3*2*0;Input3*2*1,199
553.527389,Input3*2*0,200
556.3473270000001,Input3*2*1,201
560.007227,Input3*2*0,202
564.847117,Input3*2*1,203
571.167022,Input3*2*0,204
573.766969,Input3*2*1,205
579.806828,Input3*2*0,206
581.166798,Input3*2*1,207
584.7667190000001,Input3*2*0,208
587.406656,Input3*2*1,209
590.846549,Input3*2*0,210
593.366492,Input3*2*1,211
596.12643,Input3*2*0,212
598.2463789999999,Input3*2*1,213
601.246304,Input3*2*0,214
602.486277,Input3*2*1,215
606.9261759999999,Input3*2*0,216
608.406142,Input3*2*1,217
611.926063,Input3*2*0,218
614.845991,Input3*2*1,219
617.645933,Input3*2*0,220
617.8859229999999,Input3*2*1,221
636.765559,Input3*2*0,222
637.485539,Input3*2*1,223
